ID,Customer,LoanAmount,InterestRate,Term,Type,Year,Month,PaymentNum,MonthlyRate,Interest,MonthlyPayment,PrincipalPayment,ActualAmount,RemainingBalance
000001,Michael J Smith,300000,6.25,15,F,2025,1,1,0.0052083333333333333333333333,1562.4999999999999999999999900,2572.2685995005022519710512708,1009.7685995005022519710512808,2572.2685995005022519710512708,298990.23140049949774802894872
000001,Michael J Smith,300000,6.25,15,F,2025,2,2,0.0052083333333333333333333333,1557.2407885442682174376507646,2572.2685995005022519710512708,1015.0278109562340345334005062,2572.2685995005022519710512708,297975.20358954326371349554821
000001,Michael J Smith,300000,6.25,15,F,2025,3,3,0.0052083333333333333333333333,1551.9541853622044985077893037,2572.2685995005022519710512708,1020.3144141382977534632619671,2572.2685995005022519710512708,296954.88917540496596003228624
000001,Michael J Smith,300000,6.25,15,F,2025,4,4,0.0052083333333333333333333333,1546.6400477885675310418348143,2572.2685995005022519710512708,1025.6285517119347209292164565,2572.2685995005022519710512708,295929.26062369303123910306978
000001,Michael J Smith,300000,6.25,15,F,2025,5,5,0.0052083333333333333333333333,1541.2982324150678710369951452,2572.2685995005022519710512708,1030.9703670854343809340561256,2572.2685995005022519710512708,294898.29025660759685816901365
000001,Michael J Smith,300000,6.25,15,F,2025,6,6,0.0052083333333333333333333333,1535.9285950864979003029636029,2572.2685995005022519710512708,1036.3400044140043516680876679,2572.2685995005022519710512708,293861.95025219359250650092598
000001,Michael J Smith,300000,6.25,15,F,2025,7,7,0.0052083333333333333333333333,1530.5309908968416276380256464,2572.2685995005022519710512708,1041.7376086036606243330256244,2572.2685995005022519710512708,292820.21264358993188216790036
000001,Michael J Smith,300000,6.25,15,F,2025,8,8,0.0052083333333333333333333333,1525.1052741853642285529578046,2572.2685995005022519710512708,1047.1633253151380234180934662,2572.2685995005022519710512708,291773.04931827479385874980689
000001,Michael J Smith,300000,6.25,15,F,2025,9,9,0.0052083333333333333333333333,1519.6512985326812180143219012,2572.2685995005022519710512708,1052.6173009678210339567293696,2572.2685995005022519710512708,290720.43201730697282479307752
000001,Michael J Smith,300000,6.25,15,F,2025,10,10,0.0052083333333333333333333333,1514.1689167568071501291306024,2572.2685995005022519710512708,1058.0996827436951018419206684,2572.2685995005022519710512708,289662.33233456327772295115685
000001,Michael J Smith,300000,6.25,15,F,2025,11,11,0.0052083333333333333333333333,1508.6579809091837381403705989,2572.2685995005022519710512708,1063.6106185913185138306806719,2572.2685995005022519710512708,288598.72171597195920912047618
000001,Michael J Smith,300000,6.25,15,F,2025,12,12,0.0052083333333333333333333333,1503.1183422706872875475024705,2572.2685995005022519710512708,1069.1502572298149644235488003,2572.2685995005022519710512708,287529.57145874214424469692738
000001,Michael J Smith,300000,6.25,15,F,2026,1,13,0.0052083333333333333333333333,1497.5498513476153346077964872,2572.2685995005022519710512708,1074.7187481528869173632547836,2572.2685995005022519710512708,286454.85271058925732733367260
000001,Michael J Smith,300000,6.25,15,F,2026,2,14,0.0052083333333333333333333333,1491.9523578676523819131962019,2572.2685995005022519710512708,1080.3162416328498700578550689,2572.2685995005022519710512708,285374.53646895640745727581753
000001,Michael J Smith,300000,6.25,15,F,2026,3,15,0.0052083333333333333333333333,1486.3257107758146221733115401,2572.2685995005022519710512708,1085.9428887246876297977397307,2572.2685995005022519710512708,284288.59358023171982747807780
000001,Michael J Smith,300000,6.25,15,F,2026,4,16,0.0052083333333333333333333333,1480.6697582303735407681149791,2572.2685995005022519710512708,1091.5988412701287112029362917,2572.2685995005022519710512708,283196.99473896159111627514151
000001,Michael J Smith,300000,6.25,15,F,2026,5,17,0.0052083333333333333333333333,1474.9843475987582870639330193,2572.2685995005022519710512708,1097.2842519017439649071182515,2572.2685995005022519710512708,282099.71048705984715136802326
000001,Michael J Smith,300000,6.25,15,F,2026,6,18,0.0052083333333333333333333333,1469.2693254534367039133751117,2572.2685995005022519710512708,1102.9992740470655480576761591,2572.2685995005022519710512708,280996.71121301278160331034710
000001,Michael J Smith,300000,6.25,15,F,2026,7,19,0.0052083333333333333333333333,1463.5245375677749041839080484,2572.2685995005022519710512708,1108.7440619327273477871432224,2572.2685995005022519710512708,279887.96715108005425552320388
